Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,5.83,5.83,5.105,5.37,74000,5.37
2016-10-06,5.834,5.834,5.506,5.74,44100,5.74
2016-10-05,6.08,6.33,5.88,5.94,39200,5.94
2016-10-04,6.26,6.64,6.00,6.06,55900,6.06
2016-10-03,6.25,6.75,5.55,6.20,141200,6.20
2016-09-30,6.17,6.34,5.86,6.25,21200,6.25
2016-09-29,6.58,6.99,5.935,6.16,108900,6.16
2016-09-28,6.82,6.85,6.55,6.58,41900,6.58
2016-09-27,6.92,7.00,6.515,6.67,48400,6.67
2016-09-26,6.92,7.11,6.75,6.82,27100,6.82
2016-09-23,7.01,7.07,6.85,7.00,33200,7.00
2016-09-22,7.20,7.20,6.54,7.05,180300,7.05
2016-09-21,6.90,7.18,6.84,7.16,82700,7.16
2016-09-20,6.99,7.16,6.82,6.91,74100,6.91
2016-09-19,7.07,7.24,6.77,6.99,166400,6.99
2016-09-16,6.14,7.00,6.13,6.94,225700,6.94
2016-09-15,6.20,6.40,6.09,6.15,36300,6.15
2016-09-14,6.05,6.23,6.01,6.12,45400,6.12
2016-09-13,5.98,6.29,5.77,6.01,19900,6.01
2016-09-12,5.90,6.23,5.60,6.11,102200,6.11
2016-09-09,6.34,6.39,6.03,6.14,54800,6.14
2016-09-08,6.64,6.69,6.25,6.39,73700,6.39
2016-09-07,6.17,6.60,6.10,6.44,182400,6.44
2016-09-06,5.96,6.14,5.841,6.14,125700,6.14
2016-09-02,5.97,6.064,5.75,5.91,25200,5.91
2016-09-01,5.78,6.02,5.711,5.95,120000,5.95
2016-08-31,6.04,6.15,5.53,5.77,176000,5.77
2016-08-30,5.35,5.89,5.35,5.88,237000,5.88
2016-08-29,5.29,5.34,5.109,5.34,34800,5.34
2016-08-26,5.19,5.346,5.062,5.21,57200,5.21
2016-08-25,5.238,5.238,5.05,5.18,59200,5.18
2016-08-24,5.52,5.62,5.20,5.23,137700,5.23
2016-08-23,5.17,5.61,5.041,5.49,190100,5.49
2016-08-22,5.09,5.21,5.00,5.08,60400,5.08
2016-08-19,5.00,5.15,4.96,5.14,71600,5.14
2016-08-18,5.01,5.085,4.96,5.04,55200,5.04
2016-08-17,5.14,5.34,4.93,5.04,115800,5.04
2016-08-16,5.10,5.45,5.06,5.16,180800,5.16
2016-08-15,5.10,5.25,4.895,5.14,285300,5.14
2016-08-12,5.10,5.45,4.83,5.16,668900,5.16
2016-08-11,6.52,6.89,5.13,5.24,5641500,5.24
2016-08-10,4.28,4.574,4.183,4.36,80800,4.36
2016-08-09,4.06,4.28,3.95,4.28,41300,4.28
2016-08-08,4.06,4.15,4.02,4.04,22000,4.04
2016-08-05,4.08,4.17,4.02,4.11,20700,4.11
2016-08-04,4.07,4.24,4.03,4.06,36500,4.06
2016-08-03,4.00,4.12,3.89,4.08,23300,4.08
2016-08-02,4.19,4.281,3.88,4.00,67900,4.00
2016-08-01,4.12,4.42,4.11,4.309,113700,4.309
2016-07-29,3.99,4.16,3.92,4.108,63200,4.108
2016-07-28,3.93,3.97,3.84,3.96,75500,3.96
2016-07-27,4.06,4.14,3.75,3.91,130100,3.91
2016-07-26,4.23,4.39,4.00,4.09,105600,4.09
2016-07-25,4.32,4.58,4.25,4.28,128200,4.28
2016-07-22,4.35,4.44,4.26,4.32,54700,4.32
2016-07-21,4.40,4.67,4.20,4.38,141200,4.38
2016-07-20,4.21,4.95,4.147,4.35,940600,4.35
2016-07-19,4.42,4.69,4.05,4.15,285800,4.15
2016-07-18,4.94,5.19,4.20,4.39,668200,4.39
2016-07-15,5.20,6.50,4.91,5.19,3471800,5.19
2016-07-14,3.78,5.63,3.72,5.26,2455700,5.26
2016-07-13,3.33,4.138,3.319,3.72,518900,3.72
2016-07-12,3.19,3.49,3.18,3.30,212000,3.30
2016-07-11,3.00,3.37,2.951,3.13,233600,3.13
2016-07-08,2.82,3.01,2.80,2.89,134000,2.89
2016-07-07,2.64,2.879,2.61,2.74,124300,2.74
2016-07-06,2.70,2.80,2.50,2.60,122500,2.60
2016-07-05,2.65,2.70,2.50,2.57,104600,2.57
2016-07-01,2.62,2.824,2.55,2.68,47700,2.68
2016-06-30,2.85,3.06,2.70,2.71,108200,2.71
2016-06-29,2.89,3.22,2.72,2.89,67500,2.89
2016-06-28,2.71,2.89,2.684,2.83,48200,2.83
2016-06-27,2.63,2.78,2.61,2.69,38900,2.69
2016-06-24,2.54,2.86,2.54,2.70,122200,2.70
2016-06-23,2.72,2.869,2.62,2.69,174100,2.69
2016-06-22,2.98,2.98,2.61,2.65,210900,2.65
2016-06-21,3.00,3.00,2.80,2.82,137700,2.82
2016-06-20,3.00,3.39,2.92,2.94,186800,2.94
2016-06-17,2.90,3.14,2.78,2.83,337300,2.83
2016-06-16,2.77,2.985,2.75,2.90,101100,2.90
2016-06-15,2.85,2.98,2.74,2.78,29100,2.78
2016-06-14,2.86,2.99,2.74,2.88,68600,2.88
2016-06-13,2.92,3.10,2.86,2.92,59000,2.92
2016-06-10,3.118,3.45,2.931,2.99,274300,2.99
2016-06-09,2.95,3.17,2.93,3.07,19600,3.07
2016-06-08,3.05,3.20,2.93,3.06,23800,3.06
2016-06-07,3.12,3.22,2.95,3.09,32300,3.09
2016-06-06,3.02,3.13,2.92,3.09,28300,3.09
2016-06-03,2.99,2.99,2.93,2.99,16600,2.99
2016-06-02,2.96,3.08,2.90,2.99,9700,2.99
2016-06-01,2.91,3.05,2.89,2.94,32800,2.94
2016-05-31,2.92,3.09,2.92,2.96,24200,2.96
2016-05-27,2.97,3.13,2.97,3.08,7000,3.08
2016-05-26,3.06,3.14,2.93,2.93,25900,2.93
2016-05-25,3.07,3.115,2.91,3.01,37600,3.01
2016-05-24,3.11,3.202,2.98,3.06,25100,3.06
2016-05-23,3.24,3.24,3.15,3.17,600,3.17
2016-05-20,3.23,3.23,3.11,3.18,4400,3.18
2016-05-19,3.07,3.16,3.07,3.10,1600,3.10
